,Theta,Order,Size_thresh,Mod_thresh,Arg_thresh,run_time
0,25.45930158214329,MSA,0.66,0.7,0.39,731.6218118667603
1,25.540418682243672,MSA,0.66,0.7,0.4,665.4805767536163
2,25.705601627050594,MSA,0.66,0.7,0.41,654.3443222045898
3,25.93746252213962,MSA,0.66,0.7,0.42,635.7390258312225
4,25.551723948907316,MSA,0.66,0.7,0.43,627.3390803337097
5,25.308365844677095,MSA,0.66,0.7,0.44,614.1687660217285
6,25.13205655332633,MSA,0.66,0.7,0.45,599.0081379413605
7,24.721423090417694,MSA,0.66,0.7,0.46,593.3207216262817
8,24.924107517499817,MSA,0.66,0.7,0.47,578.9481172561646
9,24.82763257286036,MSA,0.66,0.7,0.48,571.4313442707062
10,25.319085864260206,MSA,0.66,0.7,0.49,566.3613035678864
11,25.528639495949044,MSA,0.68,0.7,0.39,692.0908162593842
12,25.513899965181093,MSA,0.68,0.7,0.4,670.6489248275757
13,25.671818692598826,MSA,0.68,0.7,0.41,662.610348701477
14,25.87672543533177,MSA,0.68,0.7,0.42,651.6013844013214
15,25.655196768949065,MSA,0.68,0.7,0.43,636.1987025737762
16,25.283475017111858,MSA,0.68,0.7,0.44,638.861349105835
17,25.20502115588464,MSA,0.68,0.7,0.45,606.287003993988
18,24.948478819282677,MSA,0.68,0.7,0.46,594.7069284915924
19,25.213616160952164,MSA,0.68,0.7,0.47,586.3932845592499
20,25.310083146657657,MSA,0.68,0.7,0.48,573.9269728660583
21,25.0378056711726,MSA,0.68,0.7,0.49,569.8924431800842
22,25.712680675338596,MSA,0.7,0.7,0.39,699.575700044632
23,25.350291050851318,MSA,0.7,0.7,0.4,676.3589653968811
24,25.36476720808987,MSA,0.7,0.7,0.41,665.3304650783539
25,25.304711723993872,MSA,0.7,0.7,0.42,653.2481756210327
26,25.440768827425302,MSA,0.7,0.7,0.43,640.1581089496613
27,24.995110427606058,MSA,0.7,0.7,0.44,625.1126759052277
28,25.317842198634104,MSA,0.7,0.7,0.45,626.4686648845673
29,24.936904771713316,MSA,0.7,0.7,0.46,604.2480127811432
30,25.153413600773693,MSA,0.7,0.7,0.47,591.6776750087738
31,25.52589741007987,MSA,0.7,0.7,0.48,582.9740059375763
32,25.68708668615892,MSA,0.7,0.7,0.49,573.7653844356537
33,25.724151342525943,MSA,0.72,0.7,0.39,690.51642370224
34,25.40115786824405,MSA,0.72,0.7,0.4,678.3850474357605
35,25.358277225519377,MSA,0.72,0.7,0.41,671.5049200057983
36,25.147826635667933,MSA,0.72,0.7,0.42,653.5012254714966
37,25.183218697777356,MSA,0.72,0.7,0.43,645.0801777839661
38,24.84164949836611,MSA,0.72,0.7,0.44,629.1379933357239
39,24.96541558501965,MSA,0.72,0.7,0.45,612.6967084407806
40,24.740025911850303,MSA,0.72,0.7,0.46,602.0636031627655
41,24.980558979155845,MSA,0.72,0.7,0.47,596.7024385929108
42,25.31342706962493,MSA,0.72,0.7,0.48,588.107812166214
43,25.409277222544425,MSA,0.72,0.7,0.49,576.9862813949585
44,25.63802634474298,MSA,0.74,0.7,0.39,699.9865627288818
45,25.557394580822432,MSA,0.74,0.7,0.4,688.2740378379822
46,25.42213206314545,MSA,0.74,0.7,0.41,686.1990985870361
47,25.847173156411838,MSA,0.74,0.7,0.42,663.9704554080963
48,25.743468814962075,MSA,0.74,0.7,0.43,652.8848502635956
49,25.06091934880329,MSA,0.74,0.7,0.44,642.2172763347626
50,25.2405086690859,MSA,0.74,0.7,0.45,623.9891188144684
51,25.098071904337132,MSA,0.74,0.7,0.46,608.5413296222687
52,25.25814426185692,MSA,0.74,0.7,0.47,601.4529490470886
53,25.351300095943753,MSA,0.74,0.7,0.48,592.8970413208008
54,25.378615981299436,MSA,0.74,0.7,0.49,587.8890581130981
55,25.694345221677292,MSA,0.76,0.7,0.39,709.9007341861725
56,25.611676660230188,MSA,0.76,0.7,0.4,693.3759181499481
57,25.568949772654562,MSA,0.76,0.7,0.41,685.8115582466125
58,25.89570301417454,MSA,0.76,0.7,0.42,665.1908819675446
59,25.771973516813993,MSA,0.76,0.7,0.43,654.1472885608673
60,25.376100655405697,MSA,0.76,0.7,0.44,643.8867259025574
61,25.28579742392666,MSA,0.76,0.7,0.45,622.6138234138489
62,25.33566415500642,MSA,0.76,0.7,0.46,610.2061629295349
63,25.41123580633766,MSA,0.76,0.7,0.47,608.3702104091644
64,25.77361781470692,MSA,0.76,0.7,0.48,595.7221319675446
65,26.01263203007452,MSA,0.76,0.7,0.49,588.3077292442322
